txn_id,account_id,category_id,merchant_id,txn_date,description,amount
42,43,7,43,2025-02-12,Daily expense,-52
43,44,8,44,2025-02-13,Daily expense,-53
44,45,9,45,2025-02-14,Daily expense,-54
45,46,1,,2025-02-15,Monthly income,2545
46,47,11,47,2025-02-16,Daily expense,-56
47,48,12,48,2025-02-17,Daily expense,-57
48,49,13,49,2025-02-18,Daily expense,-58
49,50,14,50,2025-02-19,Daily expense,-59
50,51,1,,2025-02-20,Monthly income,2550
51,52,6,52,2025-02-21,Daily expense,-61
52,53,7,53,2025-02-22,Daily expense,-62
53,54,8,54,2025-02-23,Daily expense,-63
54,55,9,55,2025-02-24,Daily expense,-64
55,56,1,,2025-02-25,Monthly income,2555
56,57,11,57,2025-02-26,Daily expense,-66
57,58,12,58,2025-02-27,Daily expense,-67
58,59,13,59,2025-02-28,Daily expense,-68
59,60,14,60,2025-03-01,Daily expense,-69
60,61,1,,2025-03-02,Monthly income,2560
61,62,6,62,2025-03-03,Daily expense,-71
62,63,7,63,2025-03-04,Daily expense,-72
63,64,8,64,2025-03-05,Daily expense,-73
64,65,9,65,2025-03-06,Daily expense,-74
65,66,1,,2025-03-07,Monthly income,2565
66,67,11,67,2025-03-08,Daily expense,-76
67,68,12,68,2025-03-09,Daily expense,-77
68,69,13,69,2025-03-10,Daily expense,-78
69,70,14,70,2025-03-11,Daily expense,-79
70,71,1,,2025-03-12,Monthly income,2570
71,72,6,72,2025-03-13,Daily expense,-81
72,73,7,73,2025-03-14,Daily expense,-82
73,74,8,74,2025-03-15,Daily expense,-83
74,75,9,75,2025-03-16,Daily expense,-84
75,76,1,,2025-03-17,Monthly income,2575
76,77,11,77,2025-03-18,Daily expense,-86
77,78,12,78,2025-03-19,Daily expense,-87
78,79,13,79,2025-03-20,Daily expense,-88
79,80,14,80,2025-03-21,Daily expense,-89
80,81,1,,2025-03-22,Monthly income,2580
81,82,6,82,2025-03-23,Daily expense,-91
82,83,7,83,2025-03-24,Daily expense,-92
83,84,8,84,2025-03-25,Daily expense,-93
84,85,9,85,2025-03-26,Daily expense,-94
85,86,1,,2025-03-27,Monthly income,2585
86,87,11,87,2025-03-28,Daily expense,-96
87,88,12,88,2025-03-29,Daily expense,-97
88,89,13,89,2025-03-30,Daily expense,-98
89,90,14,90,2025-03-31,Daily expense,-99
90,91,1,,2025-04-01,Monthly income,2590
91,92,6,92,2025-04-02,Daily expense,-101
92,93,7,93,2025-04-03,Daily expense,-102
93,94,8,94,2025-04-04,Daily expense,-103
94,95,9,95,2025-04-05,Daily expense,-104
95,96,1,,2025-04-06,Monthly income,2595
96,97,11,97,2025-04-07,Daily expense,-106
97,98,12,98,2025-04-08,Daily expense,-107
98,99,13,99,2025-04-09,Daily expense,-108
99,100,14,100,2025-04-10,Daily expense,-109
100,101,1,,2025-04-11,Monthly income,2600
101,102,6,102,2025-04-12,Daily expense,-111
102,103,7,103,2025-04-13,Daily expense,-112
103,104,8,104,2025-04-14,Daily expense,-113
104,105,9,105,2025-04-15,Daily expense,-114
105,106,1,,2025-04-16,Monthly income,2605
106,107,11,107,2025-04-17,Daily expense,-116
107,108,12,108,2025-04-18,Daily expense,-117
108,109,13,109,2025-04-19,Daily expense,-118
109,110,14,110,2025-04-20,Daily expense,-119
110,111,1,,2025-04-21,Monthly income,2610
111,112,6,112,2025-04-22,Daily expense,-121
112,113,7,113,2025-04-23,Daily expense,-122
113,114,8,114,2025-04-24,Daily expense,-123
114,115,9,115,2025-04-25,Daily expense,-124
115,116,1,,2025-04-26,Monthly income,2615
116,117,11,117,2025-04-27,Daily expense,-126
117,118,12,118,2025-04-28,Daily expense,-127
118,119,13,119,2025-04-29,Daily expense,-128
119,120,14,120,2025-04-30,Daily expense,-129
120,121,1,,2025-05-01,Monthly income,2620
121,122,6,122,2025-05-02,Daily expense,-131
122,123,7,123,2025-05-03,Daily expense,-132
123,124,8,124,2025-05-04,Daily expense,-133
124,125,9,125,2025-05-05,Daily expense,-134
125,126,1,,2025-05-06,Monthly income,2625
126,127,11,127,2025-05-07,Daily expense,-136
127,128,12,128,2025-05-08,Daily expense,-137
128,129,13,129,2025-05-09,Daily expense,-138
129,130,14,130,2025-05-10,Daily expense,-139
130,131,1,,2025-05-11,Monthly income,2630
131,132,6,132,2025-05-12,Daily expense,-141
132,133,7,133,2025-05-13,Daily expense,-142
133,134,8,134,2025-05-14,Daily expense,-143
134,135,9,135,2025-05-15,Daily expense,-144
135,136,1,,2025-05-16,Monthly income,2635
136,137,11,137,2025-05-17,Daily expense,-146
137,138,12,138,2025-05-18,Daily expense,-147
138,139,13,139,2025-05-19,Daily expense,-148
139,140,14,140,2025-05-20,Daily expense,-149
140,141,1,,2025-05-21,Monthly income,2640
141,142,6,142,2025-05-22,Daily expense,-151
142,143,7,143,2025-05-23,Daily expense,-152
143,144,8,144,2025-05-24,Daily expense,-153
144,145,9,145,2025-05-25,Daily expense,-154
145,146,1,,2025-05-26,Monthly income,2645
146,147,11,147,2025-05-27,Daily expense,-156
147,148,12,148,2025-05-28,Daily expense,-157
148,149,13,149,2025-05-29,Daily expense,-158
149,150,14,150,2025-05-30,Daily expense,-159
150,151,1,,2025-05-31,Monthly income,2650
151,152,6,152,2025-06-01,Daily expense,-161
152,153,7,153,2025-06-02,Daily expense,-162
153,154,8,154,2025-06-03,Daily expense,-163
154,155,9,155,2025-06-04,Daily expense,-164
155,156,1,,2025-06-05,Monthly income,2655
156,157,11,157,2025-06-06,Daily expense,-166
157,158,12,158,2025-06-07,Daily expense,-167
158,159,13,159,2025-06-08,Daily expense,-168
159,160,14,160,2025-06-09,Daily expense,-169
160,161,1,,2025-06-10,Monthly income,2660
161,162,6,162,2025-06-11,Daily expense,-171
162,163,7,163,2025-06-12,Daily expense,-172
163,164,8,164,2025-06-13,Daily expense,-173
164,165,9,165,2025-06-14,Daily expense,-174
165,166,1,,2025-06-15,Monthly income,2665
166,167,11,167,2025-06-16,Daily expense,-176
167,168,12,168,2025-06-17,Daily expense,-177
168,169,13,169,2025-06-18,Daily expense,-178
169,170,14,170,2025-06-19,Daily expense,-179
170,171,1,,2025-06-20,Monthly income,2670
171,172,6,172,2025-06-21,Daily expense,-181
172,173,7,173,2025-06-22,Daily expense,-182
173,174,8,174,2025-06-23,Daily expense,-183
174,175,9,175,2025-06-24,Daily expense,-184
175,176,1,,2025-06-25,Monthly income,2675
176,177,11,177,2025-06-26,Daily expense,-186
177,178,12,178,2025-06-27,Daily expense,-187
178,179,13,179,2025-06-28,Daily expense,-188
179,180,14,180,2025-06-29,Daily expense,-189
180,181,1,,2025-06-30,Monthly income,2680
181,182,6,182,2025-07-01,Daily expense,-191
182,183,7,183,2025-07-02,Daily expense,-192
183,184,8,184,2025-07-03,Daily expense,-193
184,185,9,185,2025-07-04,Daily expense,-194
185,186,1,,2025-07-05,Monthly income,2685
186,187,11,187,2025-07-06,Daily expense,-196
187,188,12,188,2025-07-07,Daily expense,-197
188,189,13,189,2025-07-08,Daily expense,-198
189,190,14,190,2025-07-09,Daily expense,-199
190,191,1,,2025-07-10,Monthly income,2690
191,192,6,192,2025-07-11,Daily expense,-201
192,193,7,193,2025-07-12,Daily expense,-202
193,194,8,194,2025-07-13,Daily expense,-203
194,195,9,195,2025-07-14,Daily expense,-204
195,196,1,,2025-07-15,Monthly income,2695
196,197,11,197,2025-07-16,Daily expense,-206
197,198,12,198,2025-07-17,Daily expense,-207
198,199,13,199,2025-07-18,Daily expense,-208
199,200,14,200,2025-07-19,Daily expense,-209
200,201,1,,2025-07-20,Monthly income,2700
201,202,6,202,2025-07-21,Daily expense,-211
202,203,7,203,2025-07-22,Daily expense,-212
203,204,8,204,2025-07-23,Daily expense,-213
204,205,9,205,2025-07-24,Daily expense,-214
205,206,1,,2025-07-25,Monthly income,2705
206,207,11,207,2025-07-26,Daily expense,-216
207,208,12,208,2025-07-27,Daily expense,-217
208,209,13,209,2025-07-28,Daily expense,-218
209,210,14,210,2025-07-29,Daily expense,-219
210,211,1,,2025-07-30,Monthly income,2710
211,212,6,212,2025-07-31,Daily expense,-221
212,213,7,213,2025-08-01,Daily expense,-222
213,214,8,214,2025-08-02,Daily expense,-223
214,215,9,215,2025-08-03,Daily expense,-224
215,216,1,,2025-08-04,Monthly income,2715
216,217,11,217,2025-08-05,Daily expense,-226
217,218,12,218,2025-08-06,Daily expense,-227
218,219,13,219,2025-08-07,Daily expense,-228
219,220,14,220,2025-08-08,Daily expense,-229
220,221,1,,2025-08-09,Monthly income,2720
221,222,6,222,2025-08-10,Daily expense,-231
222,223,7,223,2025-08-11,Daily expense,-232
223,224,8,224,2025-08-12,Daily expense,-233
224,225,9,225,2025-08-13,Daily expense,-234
225,226,1,,2025-08-14,Monthly income,2725
226,227,11,227,2025-08-15,Daily expense,-236
227,228,12,228,2025-08-16,Daily expense,-237
228,229,13,229,2025-08-17,Daily expense,-238
229,230,14,230,2025-08-18,Daily expense,-239
230,231,1,,2025-08-19,Monthly income,2730
231,232,6,232,2025-08-20,Daily expense,-241
232,233,7,233,2025-08-21,Daily expense,-242
233,234,8,234,2025-08-22,Daily expense,-243
234,235,9,235,2025-08-23,Daily expense,-244
235,236,1,,2025-08-24,Monthly income,2735
236,237,11,237,2025-08-25,Daily expense,-246
237,238,12,238,2025-08-26,Daily expense,-247
238,239,13,239,2025-08-27,Daily expense,-248
239,240,14,240,2025-08-28,Daily expense,-249
240,241,1,,2025-08-29,Monthly income,2740
241,242,6,242,2025-08-30,Daily expense,-251
242,243,7,243,2025-08-31,Daily expense,-252
243,244,8,244,2025-09-01,Daily expense,-253
244,245,9,245,2025-09-02,Daily expense,-254
245,246,1,,2025-09-03,Monthly income,2745
246,247,11,247,2025-09-04,Daily expense,-256
247,248,12,248,2025-09-05,Daily expense,-257
248,249,13,249,2025-09-06,Daily expense,-258
249,250,14,250,2025-09-07,Daily expense,-259
250,251,1,,2025-09-08,Monthly income,2750
251,252,6,252,2025-09-09,Daily expense,-11
252,253,7,253,2025-09-10,Daily expense,-12
253,254,8,254,2025-09-11,Daily expense,-13
254,255,9,255,2025-09-12,Daily expense,-14
255,256,1,,2025-09-13,Monthly income,2755
256,257,11,257,2025-09-14,Daily expense,-16
257,258,12,258,2025-09-15,Daily expense,-17
258,259,13,259,2025-09-16,Daily expense,-18
259,260,14,260,2025-09-17,Daily expense,-19
260,261,1,,2025-09-18,Monthly income,2760
261,262,6,262,2025-09-19,Daily expense,-21
262,263,7,263,2025-09-20,Daily expense,-22
263,264,8,264,2025-09-21,Daily expense,-23
264,265,9,265,2025-09-22,Daily expense,-24
265,266,1,,2025-09-23,Monthly income,2765
266,267,11,267,2025-09-24,Daily expense,-26
267,268,12,268,2025-09-25,Daily expense,-27
268,269,13,269,2025-09-26,Daily expense,-28
269,270,14,270,2025-09-27,Daily expense,-29
270,271,1,,2025-09-28,Monthly income,2770
271,272,6,272,2025-09-29,Daily expense,-31
272,273,7,273,2025-09-30,Daily expense,-32
273,274,8,274,2025-10-01,Daily expense,-33
274,275,9,275,2025-10-02,Daily expense,-34
275,276,1,,2025-10-03,Monthly income,2775
276,277,11,277,2025-10-04,Daily expense,-36
277,278,12,278,2025-10-05,Daily expense,-37
278,279,13,279,2025-10-06,Daily expense,-38
279,280,14,280,2025-10-07,Daily expense,-39
280,281,1,,2025-10-08,Monthly income,2780
281,282,6,282,2025-10-09,Daily expense,-41
282,283,7,283,2025-10-10,Daily expense,-42
283,284,8,284,2025-10-11,Daily expense,-43
284,285,9,285,2025-10-12,Daily expense,-44
285,286,1,,2025-10-13,Monthly income,2785
286,287,11,287,2025-10-14,Daily expense,-46
287,288,12,288,2025-10-15,Daily expense,-47
288,289,13,289,2025-10-16,Daily expense,-48
289,290,14,290,2025-10-17,Daily expense,-49
290,291,1,,2025-10-18,Monthly income,2790
291,292,6,292,2025-10-19,Daily expense,-51
292,293,7,293,2025-10-20,Daily expense,-52
293,294,8,294,2025-10-21,Daily expense,-53
294,295,9,295,2025-10-22,Daily expense,-54
295,296,1,,2025-10-23,Monthly income,2795
296,297,11,297,2025-10-24,Daily expense,-56
297,298,12,298,2025-10-25,Daily expense,-57
298,299,13,299,2025-10-26,Daily expense,-58
299,300,14,300,2025-10-27,Daily expense,-59
300,301,1,,2025-10-28,Monthly income,2800
301,302,6,302,2025-10-29,Daily expense,-61
302,303,7,303,2025-10-30,Daily expense,-62
303,304,8,304,2025-10-31,Daily expense,-63
304,305,9,305,2025-11-01,Daily expense,-64
305,306,1,,2025-11-02,Monthly income,2805
306,307,11,307,2025-11-03,Daily expense,-66
307,308,12,308,2025-11-04,Daily expense,-67
308,309,13,309,2025-11-05,Daily expense,-68
309,310,14,310,2025-11-06,Daily expense,-69
310,311,1,,2025-11-07,Monthly income,2810
311,312,6,312,2025-11-08,Daily expense,-71
312,313,7,313,2025-11-09,Daily expense,-72
313,314,8,314,2025-11-10,Daily expense,-73
314,315,9,315,2025-11-11,Daily expense,-74
315,316,1,,2025-11-12,Monthly income,2815
316,317,11,317,2025-11-13,Daily expense,-76
317,318,12,318,2025-11-14,Daily expense,-77
318,319,13,319,2025-11-15,Daily expense,-78
319,320,14,320,2025-11-16,Daily expense,-79
320,321,1,,2025-11-17,Monthly income,2820
321,322,6,322,2025-11-18,Daily expense,-81
322,323,7,323,2025-11-19,Daily expense,-82
323,324,8,324,2025-11-20,Daily expense,-83
324,325,9,325,2025-11-21,Daily expense,-84
325,326,1,,2025-11-22,Monthly income,2825
326,327,11,327,2025-11-23,Daily expense,-86
327,328,12,328,2025-11-24,Daily expense,-87
328,329,13,329,2025-11-25,Daily expense,-88
329,330,14,330,2025-11-26,Daily expense,-89
330,331,1,,2025-11-27,Monthly income,2830
331,332,6,332,2025-11-28,Daily expense,-91
332,333,7,333,2025-11-29,Daily expense,-92
333,334,8,334,2025-11-30,Daily expense,-93
334,335,9,335,2025-12-01,Daily expense,-94
335,336,1,,2025-12-02,Monthly income,2835
336,337,11,337,2025-12-03,Daily expense,-96
337,338,12,338,2025-12-04,Daily expense,-97
338,339,13,339,2025-12-05,Daily expense,-98
339,340,14,340,2025-12-06,Daily expense,-99
340,341,1,,2025-12-07,Monthly income,2840
341,342,6,342,2025-12-08,Daily expense,-101
342,343,7,343,2025-12-09,Daily expense,-102
343,344,8,344,2025-12-10,Daily expense,-103
344,345,9,345,2025-12-11,Daily expense,-104
345,346,1,,2025-12-12,Monthly income,2845
346,347,11,347,2025-12-13,Daily expense,-106
347,348,12,348,2025-12-14,Daily expense,-107
348,349,13,349,2025-12-15,Daily expense,-108
349,350,14,350,2025-12-16,Daily expense,-109
350,351,1,,2025-12-17,Monthly income,2850
351,352,6,352,2025-12-18,Daily expense,-111
352,353,7,353,2025-12-19,Daily expense,-112
353,354,8,354,2025-12-20,Daily expense,-113
354,355,9,355,2025-12-21,Daily expense,-114
355,356,1,,2025-12-22,Monthly income,2855
356,357,11,357,2025-12-23,Daily expense,-116
357,358,12,358,2025-12-24,Daily expense,-117
358,359,13,359,2025-12-25,Daily expense,-118
359,360,14,360,2025-12-26,Daily expense,-119
360,361,1,,2025-12-27,Monthly income,2860
361,362,6,362,2025-12-28,Daily expense,-121
362,363,7,363,2025-12-29,Daily expense,-122
363,364,8,364,2025-12-30,Daily expense,-123
364,365,9,365,2025-12-31,Daily expense,-124
365,366,1,,2025-01-01,Monthly income,2865
366,367,11,367,2025-01-02,Daily expense,-126
367,368,12,368,2025-01-03,Daily expense,-127
368,369,13,369,2025-01-04,Daily expense,-128
369,370,14,370,2025-01-05,Daily expense,-129
370,371,1,,2025-01-06,Monthly income,2870
371,372,6,372,2025-01-07,Daily expense,-131
372,373,7,373,2025-01-08,Daily expense,-132
373,374,8,374,2025-01-09,Daily expense,-133
374,375,9,375,2025-01-10,Daily expense,-134
375,376,1,,2025-01-11,Monthly income,2875
376,377,11,377,2025-01-12,Daily expense,-136
377,378,12,378,2025-01-13,Daily expense,-137
378,379,13,379,2025-01-14,Daily expense,-138
379,380,14,380,2025-01-15,Daily expense,-139
380,381,1,,2025-01-16,Monthly income,2880
381,382,6,382,2025-01-17,Daily expense,-141
382,383,7,383,2025-01-18,Daily expense,-142
383,384,8,384,2025-01-19,Daily expense,-143
384,385,9,385,2025-01-20,Daily expense,-144
385,386,1,,2025-01-21,Monthly income,2885
386,387,11,387,2025-01-22,Daily expense,-146
387,388,12,388,2025-01-23,Daily expense,-147
388,389,13,389,2025-01-24,Daily expense,-148
389,390,14,390,2025-01-25,Daily expense,-149
390,391,1,,2025-01-26,Monthly income,2890
391,392,6,392,2025-01-27,Daily expense,-151
392,393,7,393,2025-01-28,Daily expense,-152
393,394,8,394,2025-01-29,Daily expense,-153
394,395,9,395,2025-01-30,Daily expense,-154
395,396,1,,2025-01-31,Monthly income,2895
396,397,11,397,2025-02-01,Daily expense,-156
397,398,12,398,2025-02-02,Daily expense,-157
398,399,13,399,2025-02-03,Daily expense,-158
399,400,14,400,2025-02-04,Daily expense,-159
400,401,1,,2025-02-05,Monthly income,2900
401,402,6,402,2025-02-06,Daily expense,-161
402,403,7,403,2025-02-07,Daily expense,-162
403,404,8,404,2025-02-08,Daily expense,-163
404,405,9,405,2025-02-09,Daily expense,-164
405,406,1,,2025-02-10,Monthly income,2905
406,407,11,407,2025-02-11,Daily expense,-166
407,408,12,408,2025-02-12,Daily expense,-167
408,409,13,409,2025-02-13,Daily expense,-168
409,410,14,410,2025-02-14,Daily expense,-169
410,411,1,,2025-02-15,Monthly income,2910
411,412,6,412,2025-02-16,Daily expense,-171
412,413,7,413,2025-02-17,Daily expense,-172
413,414,8,414,2025-02-18,Daily expense,-173
414,415,9,415,2025-02-19,Daily expense,-174
415,416,1,,2025-02-20,Monthly income,2915
416,417,11,417,2025-02-21,Daily expense,-176
417,418,12,418,2025-02-22,Daily expense,-177
418,419,13,419,2025-02-23,Daily expense,-178
419,420,14,420,2025-02-24,Daily expense,-179
420,421,1,,2025-02-25,Monthly income,2920
421,422,6,422,2025-02-26,Daily expense,-181
422,423,7,423,2025-02-27,Daily expense,-182
423,424,8,424,2025-02-28,Daily expense,-183
424,425,9,425,2025-03-01,Daily expense,-184
425,426,1,,2025-03-02,Monthly income,2925
426,427,11,427,2025-03-03,Daily expense,-186
427,428,12,428,2025-03-04,Daily expense,-187
428,429,13,429,2025-03-05,Daily expense,-188
429,430,14,430,2025-03-06,Daily expense,-189
430,431,1,,2025-03-07,Monthly income,2930
431,432,6,432,2025-03-08,Daily expense,-191
432,433,7,433,2025-03-09,Daily expense,-192
433,434,8,434,2025-03-10,Daily expense,-193
434,435,9,435,2025-03-11,Daily expense,-194
435,436,1,,2025-03-12,Monthly income,2935
436,437,11,437,2025-03-13,Daily expense,-196
437,438,12,438,2025-03-14,Daily expense,-197
438,439,13,439,2025-03-15,Daily expense,-198
439,440,14,440,2025-03-16,Daily expense,-199
440,441,1,,2025-03-17,Monthly income,2940
441,442,6,442,2025-03-18,Daily expense,-201
442,443,7,443,2025-03-19,Daily expense,-202
443,444,8,444,2025-03-20,Daily expense,-203
444,445,9,445,2025-03-21,Daily expense,-204
445,446,1,,2025-03-22,Monthly income,2945
446,447,11,447,2025-03-23,Daily expense,-206
447,448,12,448,2025-03-24,Daily expense,-207
448,449,13,449,2025-03-25,Daily expense,-208
449,450,14,450,2025-03-26,Daily expense,-209
450,451,1,,2025-03-27,Monthly income,2950
451,452,6,452,2025-03-28,Daily expense,-211
452,453,7,453,2025-03-29,Daily expense,-212
453,454,8,454,2025-03-30,Daily expense,-213
454,455,9,455,2025-03-31,Daily expense,-214
455,456,1,,2025-04-01,Monthly income,2955
456,457,11,457,2025-04-02,Daily expense,-216
457,458,12,458,2025-04-03,Daily expense,-217
458,459,13,459,2025-04-04,Daily expense,-218
459,460,14,460,2025-04-05,Daily expense,-219
460,461,1,,2025-04-06,Monthly income,2960
461,462,6,462,2025-04-07,Daily expense,-221
462,463,7,463,2025-04-08,Daily expense,-222
463,464,8,464,2025-04-09,Daily expense,-223
464,465,9,465,2025-04-10,Daily expense,-224
465,466,1,,2025-04-11,Monthly income,2965
466,467,11,467,2025-04-12,Daily expense,-226
467,468,12,468,2025-04-13,Daily expense,-227
468,469,13,469,2025-04-14,Daily expense,-228
469,470,14,470,2025-04-15,Daily expense,-229
470,471,1,,2025-04-16,Monthly income,2970
471,472,6,472,2025-04-17,Daily expense,-231
472,473,7,473,2025-04-18,Daily expense,-232
473,474,8,474,2025-04-19,Daily expense,-233
474,475,9,475,2025-04-20,Daily expense,-234
475,476,1,,2025-04-21,Monthly income,2975
476,477,11,477,2025-04-22,Daily expense,-236
477,478,12,478,2025-04-23,Daily expense,-237
478,479,13,479,2025-04-24,Daily expense,-238
479,480,14,480,2025-04-25,Daily expense,-239
480,481,1,,2025-04-26,Monthly income,2980
481,482,6,482,2025-04-27,Daily expense,-241
482,483,7,483,2025-04-28,Daily expense,-242
483,484,8,484,2025-04-29,Daily expense,-243
484,485,9,485,2025-04-30,Daily expense,-244
485,486,1,,2025-05-01,Monthly income,2985
486,487,11,487,2025-05-02,Daily expense,-246
487,488,12,488,2025-05-03,Daily expense,-247
488,489,13,489,2025-05-04,Daily expense,-248
489,490,14,490,2025-05-05,Daily expense,-249
490,491,1,,2025-05-06,Monthly income,2990
491,492,6,492,2025-05-07,Daily expense,-251
492,493,7,493,2025-05-08,Daily expense,-252
493,494,8,494,2025-05-09,Daily expense,-253
494,495,9,495,2025-05-10,Daily expense,-254
495,496,1,,2025-05-11,Monthly income,2995
496,497,11,497,2025-05-12,Daily expense,-256
497,498,12,498,2025-05-13,Daily expense,-257
498,499,13,499,2025-05-14,Daily expense,-258
499,500,14,500,2025-05-15,Daily expense,-259
500,501,1,,2025-05-16,Monthly income,3000
501,502,6,502,2025-05-17,Daily expense,-11
502,503,7,503,2025-05-18,Daily expense,-12
503,504,8,504,2025-05-19,Daily expense,-13
504,505,9,505,2025-05-20,Daily expense,-14
505,506,1,,2025-05-21,Monthly income,3005
506,507,11,507,2025-05-22,Daily expense,-16
507,508,12,508,2025-05-23,Daily expense,-17
508,509,13,509,2025-05-24,Daily expense,-18
509,510,14,510,2025-05-25,Daily expense,-19
510,511,1,,2025-05-26,Monthly income,3010
511,512,6,512,2025-05-27,Daily expense,-21
512,513,7,513,2025-05-28,Daily expense,-22
513,514,8,514,2025-05-29,Daily expense,-23
514,515,9,515,2025-05-30,Daily expense,-24
515,516,1,,2025-05-31,Monthly income,3015
516,517,11,517,2025-06-01,Daily expense,-26
517,518,12,518,2025-06-02,Daily expense,-27
518,519,13,519,2025-06-03,Daily expense,-28
519,520,14,520,2025-06-04,Daily expense,-29
520,521,1,,2025-06-05,Monthly income,3020
521,522,6,522,2025-06-06,Daily expense,-31
522,523,7,523,2025-06-07,Daily expense,-32
523,524,8,524,2025-06-08,Daily expense,-33
524,525,9,525,2025-06-09,Daily expense,-34
525,526,1,,2025-06-10,Monthly income,3025
526,527,11,527,2025-06-11,Daily expense,-36
527,528,12,528,2025-06-12,Daily expense,-37
528,529,13,529,2025-06-13,Daily expense,-38
529,530,14,530,2025-06-14,Daily expense,-39
530,531,1,,2025-06-15,Monthly income,3030
531,532,6,532,2025-06-16,Daily expense,-41
532,533,7,533,2025-06-17,Daily expense,-42
533,534,8,534,2025-06-18,Daily expense,-43
534,535,9,535,2025-06-19,Daily expense,-44
535,536,1,,2025-06-20,Monthly income,3035
536,537,11,537,2025-06-21,Daily expense,-46
537,538,12,538,2025-06-22,Daily expense,-47
538,539,13,539,2025-06-23,Daily expense,-48
539,540,14,540,2025-06-24,Daily expense,-49
540,541,1,,2025-06-25,Monthly income,3040
541,542,6,542,2025-06-26,Daily expense,-51
542,543,7,543,2025-06-27,Daily expense,-52
543,544,8,544,2025-06-28,Daily expense,-53
544,545,9,545,2025-06-29,Daily expense,-54
545,546,1,,2025-06-30,Monthly income,3045
546,547,11,547,2025-07-01,Daily expense,-56
547,548,12,548,2025-07-02,Daily expense,-57
548,549,13,549,2025-07-03,Daily expense,-58
549,550,14,550,2025-07-04,Daily expense,-59
550,551,1,,2025-07-05,Monthly income,3050
551,552,6,552,2025-07-06,Daily expense,-61
552,553,7,553,2025-07-07,Daily expense,-62
553,554,8,554,2025-07-08,Daily expense,-63
554,555,9,555,2025-07-09,Daily expense,-64
555,556,1,,2025-07-10,Monthly income,3055
556,557,11,557,2025-07-11,Daily expense,-66
557,558,12,558,2025-07-12,Daily expense,-67
558,559,13,559,2025-07-13,Daily expense,-68
559,560,14,560,2025-07-14,Daily expense,-69
560,561,1,,2025-07-15,Monthly income,3060
561,562,6,562,2025-07-16,Daily expense,-71
562,563,7,563,2025-07-17,Daily expense,-72
563,564,8,564,2025-07-18,Daily expense,-73
564,565,9,565,2025-07-19,Daily expense,-74
565,566,1,,2025-07-20,Monthly income,3065
566,567,11,567,2025-07-21,Daily expense,-76
567,568,12,568,2025-07-22,Daily expense,-77
568,569,13,569,2025-07-23,Daily expense,-78
569,570,14,570,2025-07-24,Daily expense,-79
570,571,1,,2025-07-25,Monthly income,3070
571,572,6,572,2025-07-26,Daily expense,-81
572,573,7,573,2025-07-27,Daily expense,-82
573,574,8,574,2025-07-28,Daily expense,-83
574,575,9,575,2025-07-29,Daily expense,-84
575,576,1,,2025-07-30,Monthly income,3075
576,577,11,577,2025-07-31,Daily expense,-86
577,578,12,578,2025-08-01,Daily expense,-87
578,579,13,579,2025-08-02,Daily expense,-88
579,580,14,580,2025-08-03,Daily expense,-89
580,581,1,,2025-08-04,Monthly income,3080
581,582,6,582,2025-08-05,Daily expense,-91
582,583,7,583,2025-08-06,Daily expense,-92
583,584,8,584,2025-08-07,Daily expense,-93
584,585,9,585,2025-08-08,Daily expense,-94
585,586,1,,2025-08-09,Monthly income,3085
